Date,Close,Open,High,Low,Volume,Up&Down,Rate
2009-01-29,108500,105000,110000,105000,113563,3500,3.333333333
2009-01-30,106000,106000,109000,104000,80099,-2500,-2.304147465
2009-02-02,103000,104000,106500,102500,55812,-3000,-2.830188679
2009-02-03,104500,104000,105000,100500,79807,1500,1.45631068
2009-02-04,107500,105500,108500,104500,91193,3000,2.870813397
2009-02-05,106500,107000,112500,105500,113797,-1000,-0.930232558
2009-02-06,111000,109500,111000,105500,98165,4500,4.225352113
2009-02-09,111500,113500,113500,105000,109382,500,0.45045045
2009-02-10,113000,113500,114500,109000,83275,1500,1.34529148
2009-02-11,112500,109500,116500,108500,85055,-500,-0.442477876
2009-02-12,117000,113000,118500,112500,88449,4500,4
2009-02-13,114000,116000,117500,114000,54264,-3000,-2.564102564
2009-02-16,117500,113000,119500,112500,62007,3500,3.070175439
2009-02-17,111500,117500,117500,111000,60736,-6000,-5.106382979
2009-02-18,113500,110000,115000,109000,58014,2000,1.793721973
2009-02-19,112500,113000,114000,106000,92528,-1000,-0.881057269
2009-02-20,108000,109500,113000,106500,53699,-4500,-4
2009-02-23,107500,105500,108000,101000,198460,-500,-0.462962963
2009-02-24,102500,104000,106000,101500,71645,-5000,-4.651162791
2009-02-25,103000,106000,106000,100500,77401,500,0.487804878
2009-02-26,96500,104000,105500,94000,128330,-6500,-6.310679612
2009-02-27,98900,96000,101500,94200,69775,2400,2.487046632
2009-03-02,91400,98700,98700,88000,125615,-7500,-7.583417594
2009-03-03,85600,88000,88300,85000,135289,-5800,-6.345733042
2009-03-04,89000,86000,90700,80600,377936,3400,3.971962617
2009-03-05,86100,90300,90700,85500,130174,-2900,-3.258426966
2009-03-06,89800,83600,91000,81900,98198,3700,4.297328688
2009-03-09,87500,91000,91400,87000,109628,-2300,-2.561247216
2009-03-10,91900,86200,92000,86200,98518,4400,5.028571429
2009-03-11,92500,93200,95700,92200,105082,600,0.652883569
2009-03-12,90000,93000,95400,88300,162374,-2500,-2.702702703
2009-03-13,91200,90100,93400,89500,694901,1200,1.333333333
2009-03-16,89300,93000,94800,89300,168738,-1900,-2.083333333
2009-03-17,90800,89900,91100,87000,234736,1500,1.679731243
2009-03-18,89000,91800,91900,89000,184666,-1800,-1.982378855
2009-03-19,86400,90100,90300,85300,223400,-2600,-2.921348315
2009-03-20,87500,86900,88200,86500,129064,1100,1.273148148
2009-03-23,91200,88200,91200,88000,239351,3700,4.228571429
2009-03-24,104500,94600,104500,94000,879920,13300,14.58333333
2009-03-25,107500,103500,110000,102000,424175,3000,2.870813397
2009-03-26,106500,108000,108500,105000,185180,-1000,-0.930232558
2009-03-27,106500,107500,109000,102000,227096,0,0
2009-03-30,99000,105500,107000,99000,228866,-7500,-7.042253521
2009-03-31,100000,101500,103000,99500,145339,1000,1.01010101
2009-04-01,105000,101000,107000,98200,221355,5000,5
2009-04-02,111500,107500,114000,106500,215136,6500,6.19047619
2009-04-03,120000,115000,127000,113500,492948,8500,7.623318386
2009-04-06,118500,120500,124500,117000,190415,-1500,-1.25
2009-04-07,115500,117000,118500,114000,287421,-3000,-2.53164557
2009-04-08,113000,114000,118000,113000,256440,-2500,-2.164502165
2009-04-09,122500,115500,124500,114500,215997,9500,8.407079646
2009-04-10,127000,123500,131500,122500,274303,4500,3.673469388
2009-04-13,130000,129000,133500,125000,184111,3000,2.362204724
2009-04-14,129500,134000,134500,128500,123176,-500,-0.384615385
2009-04-15,126000,127000,131000,123500,123744,-3500,-2.702702703
2009-04-16,129500,129000,136000,127000,195855,3500,2.777777778
2009-04-17,121500,130500,133000,121000,169624,-8000,-6.177606178
2009-04-20,121500,122000,123500,117000,87876,0,0
2009-04-21,121500,117500,124000,117500,142434,0,0
2009-04-22,123000,122500,128500,120500,169220,1500,1.234567901
2009-04-23,120000,124000,125000,118500,202896,-3000,-2.43902439
2009-04-24,124500,122000,128000,120500,272623,4500,3.75
2009-04-27,122000,125500,129000,122000,177480,-2500,-2.008032129
2009-04-28,114500,123000,125000,114500,259326,-7500,-6.147540984
2009-04-29,120000,116500,120000,114500,115083,5500,4.80349345
2009-04-30,128000,123000,130000,122500,253702,8000,6.666666667
2009-05-04,133000,130500,133000,128000,189353,5000,3.90625
2009-05-06,131500,131000,132000,128000,156629,-1500,-1.127819549
2009-05-07,134000,132500,134500,128500,190552,2500,1.901140684
2009-05-08,130000,132500,135500,129000,127999,-4000,-2.985074627
2009-05-11,130500,128000,130500,125500,166394,500,0.384615385
2009-05-12,126500,128500,130000,120000,428527,-4000,-3.0651341
2009-05-13,119500,125000,126000,119500,288305,-7000,-5.533596838
2009-05-14,114500,117000,118000,112000,234958,-5000,-4.184100418
2009-05-15,115000,116500,120500,114500,157467,500,0.436681223
2009-05-18,112000,115500,118000,111500,152149,-3000,-2.608695652
2009-05-19,119000,115000,120000,113500,194146,7000,6.25
2009-05-20,118000,119000,119500,116500,72537,-1000,-0.840336134
2009-05-21,113000,117000,117000,111000,172520,-5000,-4.237288136
2009-05-22,106500,110500,112500,106500,215624,-6500,-5.752212389
2009-05-25,110000,106000,111000,100000,160600,3500,3.286384977
2009-05-26,106000,110000,111000,104500,125842,-4000,-3.636363636
2009-05-27,103000,107000,108500,102000,128508,-3000,-2.830188679
2009-05-28,105000,101500,105000,98800,161743,2000,1.941747573
2009-05-29,109500,106000,111500,104000,242413,4500,4.285714286
2009-06-01,111000,109500,114500,106500,181780,1500,1.369863014
2009-06-02,120000,113000,121500,111500,492972,9000,8.108108108
2009-06-03,120000,123500,123500,114000,388360,0,0
2009-06-04,114500,118500,118500,111500,158272,-5500,-4.583333333
2009-06-05,110500,114000,114500,107500,184332,-4000,-3.493449782
2009-06-08,105000,108000,112500,104500,193571,-5500,-4.977375566
2009-06-09,103000,106000,107000,100500,234725,-2000,-1.904761905
2009-06-10,103500,103500,104000,100000,218572,500,0.485436893
2009-06-11,107000,103000,107500,101000,349608,3500,3.381642512
2009-06-12,104500,108000,108000,103000,229626,-2500,-2.336448598
2009-06-15,104500,105000,106500,103000,120256,0,0
2009-06-16,104000,102000,105000,101000,98562,-500,-0.4784689
2009-06-17,104500,103500,106000,103000,144637,500,0.480769231
2009-06-18,102000,105000,105500,102000,84376,-2500,-2.392344498
2009-06-19,102500,103000,103500,100500,105671,500,0.490196078
2009-06-22,103000,101500,104500,101500,62392,500,0.487804878
2009-06-23,98400,100500,101000,98000,103009,-4600,-4.466019417
2009-06-24,95100,98400,98600,94500,184738,-3300,-3.353658537
2009-06-25,95400,95500,97200,95400,211379,300,0.315457413
2009-06-26,91100,96000,96500,90800,257664,-4300,-4.507337526
2009-06-29,86000,91300,91900,86000,327875,-5100,-5.598243688
2009-06-30,89000,87000,89400,85200,305221,3000,3.488372093
2009-07-01,90500,87700,90600,87600,144112,1500,1.685393258
2009-07-02,90200,91500,91500,88300,146759,-300,-0.331491713
2009-07-03,89000,88100,89100,87000,228660,-1200,-1.33037694
2009-07-06,88100,89200,90600,87300,245536,-900,-1.011235955
2009-07-07,87000,88200,88500,86000,279933,-1100,-1.248581158
2009-07-08,86800,86100,87900,86100,136816,-200,-0.229885057
2009-07-09,87400,87200,88800,87000,118997,600,0.69124424
2009-07-10,85600,87600,87800,85300,123063,-1800,-2.059496568
2009-07-13,78000,85700,85700,77300,314601,-7600,-8.878504673
